location,abbreviation,epiyear,epiweek,weighted_ili_now
18,IN,2011,5,6.03009
19,IA,2011,5,3.39691
20,KS,2011,5,3.12599
21,KY,2011,5,2.38747
22,LA,2011,5,4.55646
23,ME,2011,5,1.31707
24,MD,2011,5,3.60123
25,MA,2011,5,2.26041
26,MI,2011,5,1.74936
27,MN,2011,5,2.06409
28,MS,2011,5,8.08221
29,MO,2011,5,2.77562
30,MT,2011,5,0.240081
31,NE,2011,5,4.81418
32,NV,2011,5,4.26079
33,NH,2011,5,0.348725
34,NJ,2011,5,5.66474
35,NM,2011,5,5.19617
36,NY,2011,5,2.95166
37,NC,2011,5,5.12266
38,ND,2011,5,0.77402
39,OH,2011,5,2.34979
40,OK,2011,5,11.729
41,OR,2011,5,2.37807
42,PA,2011,5,3.95338
44,RI,2011,5,1.02302
45,SC,2011,5,7.39396
46,SD,2011,5,3.32194
47,TN,2011,5,6.93751
48,TX,2011,5,6.0336
49,UT,2011,5,0.202306
50,VT,2011,5,2.23576
51,VA,2011,5,5.09494
53,WA,2011,5,2.10007
54,WV,2011,5,2.89964
55,WI,2011,5,2.43876
56,WY,2011,5,2.92148
HHS01,HHS01,2011,5,1.62888
HHS02,HHS02,2011,5,3.78796
HHS03,HHS03,2011,5,4.06754
HHS04,HHS04,2011,5,5.57173
HHS05,HHS05,2011,5,3.39616
HHS06,HHS06,2011,5,6.46208
HHS07,HHS07,2011,5,3.25457
HHS08,HHS08,2011,5,1.44218
HHS09,HHS09,2011,5,4.50488
HHS10,HHS10,2011,5,2.35477
US,US,2011,5,4.27443
01,AL,2011,6,9.18016
02,AK,2011,6,4.05857
04,AZ,2011,6,2.7602
05,AR,2011,6,6.64362
06,CA,2011,6,3.8507
08,CO,2011,6,2.99855
09,CT,2011,6,1.74334
10,DE,2011,6,1.67424
11,DC,2011,6,2.93698
12,FL,2011,6,2.8727
13,GA,2011,6,4.96002
15,HI,2011,6,4.2449
16,ID,2011,6,4.44428
17,IL,2011,6,4.72357
18,IN,2011,6,7.65846
19,IA,2011,6,2.99323
20,KS,2011,6,3.68966
21,KY,2011,6,3.73247
22,LA,2011,6,8.92262
23,ME,2011,6,1.63081
24,MD,2011,6,3.70789
25,MA,2011,6,2.53315
26,MI,2011,6,1.64873
27,MN,2011,6,2.95699
28,MS,2011,6,6.67415
29,MO,2011,6,4.90718
30,MT,2011,6,0.866827
31,NE,2011,6,6.34049
32,NV,2011,6,4.5344
33,NH,2011,6,0.497218
34,NJ,2011,6,4.96907
35,NM,2011,6,5.48197
36,NY,2011,6,2.52401
37,NC,2011,6,6.28368
38,ND,2011,6,1.20086
39,OH,2011,6,3.93363
40,OK,2011,6,7.33157
41,OR,2011,6,1.64098
42,PA,2011,6,4.83972
44,RI,2011,6,1.56114
45,SC,2011,6,7.53968
46,SD,2011,6,3.1553
47,TN,2011,6,6.48549
48,TX,2011,6,6.51993
49,UT,2011,6,1.32991
50,VT,2011,6,2.78026
51,VA,2011,6,5.77908
53,WA,2011,6,4.12007
54,WV,2011,6,4.29681
55,WI,2011,6,3.93119
56,WY,2011,6,3.36367
HHS01,HHS01,2011,6,2.01095
HHS02,HHS02,2011,6,3.27769
HHS03,HHS03,2011,6,4.70486
HHS04,HHS04,2011,6,5.20316
HHS05,HHS05,2011,6,4.05314
HHS06,HHS06,2011,6,6.83839
HHS07,HHS07,2011,6,4.42127
HHS08,HHS08,2011,6,2.29761
HHS09,HHS09,2011,6,3.74806
HHS10,HHS10,2011,6,3.41127
US,US,2011,6,4.39963
01,AL,2011,7,4.5666
02,AK,2011,7,2.35395
04,AZ,2011,7,2.85852
05,AR,2011,7,6.93441
06,CA,2011,7,4.02712
08,CO,2011,7,2.91131
09,CT,2011,7,1.88604
10,DE,2011,7,2.11491
11,DC,2011,7,0.996043
12,FL,2011,7,2.46837
13,GA,2011,7,3.94712
15,HI,2011,7,5.70601
16,ID,2011,7,4.11967
17,IL,2011,7,2.96332
18,IN,2011,7,6.28186
19,IA,2011,7,1.29817
20,KS,2011,7,5.22904
21,KY,2011,7,3.8144
22,LA,2011,7,6.45296
23,ME,2011,7,2.15255
24,MD,2011,7,3.1124
25,MA,2011,7,2.66906
26,MI,2011,7,2.42775
27,MN,2011,7,3.04031
28,MS,2011,7,2.8823
29,MO,2011,7,3.72042
30,MT,2011,7,0.583437
31,NE,2011,7,3.93897
32,NV,2011,7,2.28375
33,NH,2011,7,0.84439
34,NJ,2011,7,4.79345
35,NM,2011,7,4.46592
36,NY,2011,7,1.92216
37,NC,2011,7,6.65162
38,ND,2011,7,1.93949
39,OH,2011,7,1.66004
40,OK,2011,7,6.64459
41,OR,2011,7,1.70941
42,PA,2011,7,3.85681
44,RI,2011,7,2.72256
45,SC,2011,7,5.06266
46,SD,2011,7,3.36959
47,TN,2011,7,7.05896
48,TX,2011,7,8.5193
49,UT,2011,7,2.14343
50,VT,2011,7,2.59234
51,VA,2011,7,5.19152
53,WA,2011,7,3.40585
